titleid|console|mediatype|name|namelang|parentallevel|icon|iconlang|resolution|soundformat
BCAS20002|ps3|disc|ＧＥＮＪＩ™　神威奏亂||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20002_00_BF82901BCED763F4D3229C9F2B2ABDBDF30139E3/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20003|ps3|disc|Resistance: Fall of Man™|"<name lang=""0"">レジスタンス：人類没落の日</name><name lang=""9"">Resistance: 인류몰락의 날</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20003_00_3E7EF3B3815719F0C085AF2E33C3916407BDEE95/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20004|ps3|disc|MotorStorm™||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20004_00_39339B43B7B44F6A68F5A754ED01F51843CA4DD7/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20013|ps3|disc|Folklore™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20013_00_0736A17803400429860EC109565533FB08FC6D5E/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20014|ps3|disc|Lair|"<name lang=""0"">RISEFROMLAIR</name><name lang=""1"">Lair</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20014_00_9C920CA69B81B32963417E768B0667857D733C9F/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20015|ps3|disc|Warhawk™||7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20015_00_4AE8689BBB0571BA93445B336A291D75805CD7B7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20016|ps3|disc|Heavenly Sword™ |"<name lang=""0"">Heavenly Sword™</name><name lang=""1"">Heavenly Sword™ </name><name lang=""2"">Heavenly Sword™</name><name lang=""3"">Heavenly Sword™</name><name lang=""4"">Heavenly Sword™</name><name lang=""5"">Heavenly Sword™</name><name lang=""6"">Heavenly Sword™</name><name lang=""7"">Heavenly Sword™</name><name lang=""8"">Heavenly Sword™</name><name lang=""9"">Heavenly Sword™</name><name lang=""10"">Heavenly Sword™</name><name lang=""11"">Heavenly Sword™</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20016_00_20E1EC28235A58971438B1C9D81AB6773C9FA924/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20018|ps3|disc|Railfan TAIWAN HIGH SPEED RAIL|"<name lang=""1"">Railfan TAIWAN HIGH SPEED RAIL</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20018_00_E97477B8736D74368F52200417EC74E571318E70/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
BCAS20021|ps3|disc|THE EYE OF JUDGMENT™||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20021_00_BF8E1FDA8C462E3829F29135C1827BF079720A89/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20023|ps3|disc|Ratchet and Clank Future™|"<name lang=""1"">Ratchet and Clank® Future: Tools of Destruction™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20023_00_D392759EFF43730EBBC5DC9E9E824608572D5B23/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20024|ps3|disc|Uncharted: Drake's Fortune™|"<name lang=""0"">アンチャーテッド：エル・ドラドの秘宝</name><name lang=""3"">Uncharted: El Tesoro de Drake™</name><name lang=""4"">Uncharted: Drakes Schicksal™</name><name lang=""9"">UNCHARTED: 엘도라도의 보물™</name>"|7|http://tmdb.np.dl.playstation.net/tmdb/BCAS20024_00_9CA56252D22FA8640A0536D02A35C9FDC03371A7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20027|ps3|disc|GRAN TURISMO 5 Prologue||1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20027_00_714858DEB0191EB8AEC3AE9AD6D649BE5B88701A/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20044|ps3|disc|MOTORSTORM® 2||5|http://tmdb.np.dl.playstation.net/tmdb/BCAS20044_00_6C2F8AD362E485405E44B621395C1A1459D8880A/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20047|ps3|disc|SIREN: New Translation||8|http://tmdb.np.dl.playstation.net/tmdb/BCAS20047_00_4A00D124E274534359AE382FA159BA0B70438147/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20050|ps3|disc|HAKUNA MATATA™|"<name lang=""0"">HAKUNA MATATA™</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20050_00_0EA5092C44BD9CA47D121CC487AD2E94BD192546/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20051|ps3|disc|SOCOM: U.S. Navy SEALs Confrontation|"<name lang=""0"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""1"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""2"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""3"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""4"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""5"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""6"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""7"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""8"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""9"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""10"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""11"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""12"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""13"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""14"">SOCOM: U.S. Navy SEALs Confrontation</name><name lang=""15"">SOCOM: U.S. Navy SEALs Confrontation</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20051_00_D7B627B6B17A463D26F79301AA8B796D8357EEC8/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20052|ps3|disc|Ratchet &amp; Clank® Future: Quest for Booty™|"<name lang=""0"">ラチェット＆クランク FUTURE 海賊ダークウォーターの秘宝</name><name lang=""9"">라쳇 &amp; 클랭크® : 퓨처 - 해적 다크워터의 보물 - </name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20052_00_12CED172C87A5FAB9195626133237D117EEE917F/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20055|ps3|disc|Resistance 2™|"<name lang=""9"">레지스탕스 2™</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20055_00_60DACC0CEAD3A437F0D541F771ED6A6528C04EE7/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20058|ps3|disc|LittleBigPlanet™|"<name lang=""0"">リトルビッグプラネット™</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20058_00_02C90D089DD2D6EDB79CCAD17546964BBBA90CC1/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
BCAS20062|ps3|disc|HAKUNA MATATA™|"<name lang=""0"">HAKUNA MATATA™</name><name lang=""1"">HAKUNA MATATA™</name><name lang=""9"">HAKUNA MATATA™</name><name lang=""10"">HAKUNA MATATA™</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20062_00_BADED621350B9E0B9ABD7275FF8B294E4440EFC2/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
BCAS20064|ps3|disc|AQUANAUT'S HOLIDAY ™　- Hidden memories -|"<name lang=""0"">AQUANAUT'S HOLIDAY ™　～隠された記録～</name><name lang=""1"">AQUANAUT'S HOLIDAY ™　- Hidden memories -</name><name lang=""9"">AQUANAUT'S HOLIDAY ™　～숨겨진 기록～</name><name lang=""10"">AQUANAUT'S HOLIDAY ™　～堡礁秘辛～</name>"|1|http://tmdb.np.dl.playstation.net/tmdb/BCAS20064_00_F296A3FD91A84D592D2F0877E6B404B3E58E0EA9/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20066|ps3|disc|Killzone™2||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20066_00_A6217C00EE8CE6478555DEEA60DD092358591F54/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
BCAS20071|ps3|disc|Demon's Souls||9|http://tmdb.np.dl.playstation.net/tmdb/BCAS20071_00_69A914CE181245DBA5E8FA2B4A5F8E111869539A/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby
BCAS20073|ps3|disc|The Last Guy BD ver.||3|http://tmdb.np.dl.playstation.net/tmdb/BCAS20073_00_6FEDC6D48A238DD1F98B96368A30247813BDE862/ICON0.PNG||480,576,720,1080|2LPCM,5.1LPCM,7.1LPCM,Dolby
